,,,Mean RPM Vemurafenib dose-response 24 hrs,,,,,,,,,Std RPM Vemurafenib dose-response 24 hrs,,,,,,,
,,,Vemurafenib (uM),,,,,,,,,Vemurafenib (uM),,,,,,,
ENSG00000007923,DNAJC11,,132.8034,132.1716,125.675,105.2099,89.5085,83.7839,82.8658,99.244,,3.0118,1.222,4.9836,5.0428,1.5001,1.3885,2.4242,3.0185
ENSG00000237436,CAMTA1-DT,,0.14296,0.33454,0.33293,0.58952,0.56755,0.53745,0.7149,0.75016,,0.17662,0.17833,0.25453,0.12933,0.20714,0.0714,0.1125,0.47091
ENSG00000171735,CAMTA1,,23.9455,24.4448,22.8183,22.3708,21.6905,20.9728,23.1886,22.0373,,2.3604,0.50204,2.1231,1.2438,2.347,0.59075,0.52016,1.134
ENSG00000049245,VAMP3,,118.5474,114.9732,120.3443,129.7211,135.9444,133.3538,140.4219,142.232,,0.37977,3.5451,7.2974,5.6768,5.6673,2.3686,1.4967,5.8115
ENSG00000269925,Z98884.2,,0.71541,0.70366,0.81206,0.69951,0.66456,0.90754,1.013,0.62344,,0.33461,0.21205,0.31376,0.26529,0.29036,0.50908,0.13726,0.17238
ENSG00000049246,PER3,,4.6629,4.3167,5.3524,9.2515,13.7021,12.6656,13.4392,16.8308,,0.35169,0.52112,0.9944,1.3673,0.63982,0.56064,0.29753,2.2548
ENSG00000049247,UTS2,,0.25563,0.25512,0.084336,0.12899,0.056181,0.076364,0.03021,0.070107,,0.23775,0.18516,0.16867,0.1902,0.065076,0.052092,0.060421,0.081248
ENSG00000049249,TNFRSF9,,0.10774,0.096362,0.29924,0.53628,0.6817,0.92393,1.3489,0.52994,,0.12627,0.1366,0.18194,0.09715,0.15244,0.40503,0.34682,0.1647
ENSG00000116288,PARK7,,266.7489,258.559,259.6346,247.1106,224.7257,207.045,204.2943,204.4488,,18.2884,10.4473,11.6532,9.2735,7.3102,15.3454,5.4604,3.9602
ENSG00000284747,AL034417.4,,1.2981,1.3273,1.3267,0.95499,1.1311,1.21,0.82231,1.2272,,0.15497,0.18485,0.25486,0.56722,0.12952,0.30284,0.35727,0.37996
ENSG00000116285,ERRFI1,,380.0535,365.9691,263.3789,167.2059,111.7326,76.8314,71.7126,76.0161,,14.966,8.575,17.0815,18.0679,7.078,5.5635,1.5856,3.4076
ENSG00000162426,SLC45A1,,0.92182,0.66344,1.2943,2.305,2.5805,2.5795,3.2995,2.5175,,0.11594,0.08385,0.41084,0.54874,0.59704,0.30939,1.1229,1.15
ENSG00000142599,RERE,,125.1006,127.398,128.4266,142.8916,164.5877,180.8821,176.7366,156.8569,,3.1215,5.01,7.7504,10.1217,7.7898,6.9641,5.7555,12.546
ENSG00000074800,ENO1,,3711.2648,3608.5772,3007.2587,2005.4734,1356.9807,1077.4765,1066.7447,1284.3074,,117.0474,56.8276,99.987,158.2645,94.9022,32.4676,30.1472,65.6116
ENSG00000236269,,,0.29799,0.75599,0.36329,0.33436,0.2833,0.44383,0.064187,0.42016,,0.31721,0.12709,0.20869,0.16298,0.15721,0.14808,0.075179,0.26502
ENSG00000230679,ENO1-AS1,,0.12327,0.17574,0.44031,0.39802,0.45349,0.70139,0.94741,0.40252,,0.14987,0.12417,0.098393,0.19989,0.20138,0.27667,0.18257,0.20823
ENSG00000142583,SLC2A5,,0.10533,0.027728,0.057619,0.20209,0.2583,0.36008,0.69763,0.27513,,0.011214,0.055457,0.066572,0.25828,0.25899,0.28512,0.25537,0.27461
ENSG00000180758,GPR157,,12.8128,12.4516,12.6893,9.3236,9.2558,8.0446,10.3128,9.5717,,1.3327,1.7807,0.87765,0.65311,0.62681,0.90032,0.89292,1.0346
ENSG00000228526,MIR34AHG,,6.8204,9.4384,11.3884,17.7578,23.4901,26.8019,29.079,25.0281,,1.477,2.127,1.2361,4.5912,5.739,3.6154,3.7052,2.0249
ENSG00000234546,LINC01759,,1.2084,0.95817,1.1759,2.8095,3.6746,4.0981,4.3943,5.228,,0.21133,0.40238,0.5963,0.87108,0.917,0.58794,0.94679,0.52165
ENSG00000049239,H6PD,,58.2093,60.6457,85.6329,135.8837,182.3014,198.9879,199.3865,179.8562,,4.6568,3.1234,8.5381,13.7347,2.8796,7.4531,5.7852,5.8207
ENSG00000171621,SPSB1,,17.0731,15.9372,15.1225,18.9348,20.0058,21.5655,18.7269,10.7084,,1.4693,1.2522,1.0656,0.4751,0.56362,1.5383,1.2321,1.4041
ENSG00000284652,BX323043.1,,0.048968,0.051649,0.21255,0.75952,0.87694,1.1255,0.95835,0.79612,,0.056611,0.059963,0.10354,0.2968,0.39335,0.30821,0.13311,0.38538
ENSG00000284693,AL928921.2,,0.92582,1.1741,1.2266,2.384,4.1149,5.3047,5.1063,3.3537,,0.24637,0.32518,0.27123,1.1399,0.62703,0.83424,1.116,0.3296
